tituloOriginal,ranking,genero,anyo,presupuesto,duraccion,pais,titulo
Die fetten Jahre sind vorbei,#404,,2004,,123 minutos,Alemania,Die fetten Jahre sind vorbei
The Wolf of Wall Street,#406,"Thriller, Crimen",2013,100.000.000$,180 minutos,EE.UU.,The Wolf of Wall Street
,#403,"Acción, Thriller",2006,,,The Fast and the Furious: Tokyo Drift,
Mulholland Dr.,#409,"Drama, Thriller, Misterio",2001,15.000.000$,145 minutos,EE.UU.,Mulholland Dr.
Cars,#402,"Animación, Aventura, Comedia",2006,120.000.000$,121 minutos,EE.UU.,Cars
Master and Commander: The Far Side of the World,#400,"Acción, Aventura, Drama",2003,150.000.000$,138 minutos,EE.UU.,Master and Commander: The Far Side of the World
Monsters University,#418,Pixar Animation Studios,2013,,110 minutos,EE.UU.,Monsters University
Twelve Years a Slave,#398,"Drama, Historia, Biografía",2013,20.000$,133 minutos,EE.UU.,Twelve Years a Slave
Wilby Wonderful,#395,,2004,,98 minutos,Canadá,Wilby Wonderful
To kill a mockingbird,#393,"Drama, Crimen, Misterio",1962,2.000.000$,124 minutos,EE.UU.,To kill a mockingbird
,#396,,2017,,,Wonder Woman,
,#399,,2003,,,2 Fast 2 Furious,
The Prestige,#405,"Thriller, Drama, Fantasía",2006,40.000.000$,128 minutos,EE.UU.,The Prestige
Ladri di biciclette,#397,,1948,,88 minutos,Italia,Ladri di biciclette
Point Break,#390,"Acción, Deporte",1991,24.000.000€,117 minutos,EE.UU.,Point Break
On the Waterfront,#389,Columbia Pictures,1954,,103 minutos,EE.UU.,On the Waterfront
Small Wonders,#392,,1995,,77 minutos,EE.UU.,Small Wonders
Madagascar,#394,"Animación, Aventura, Comedia",2005,75.000.000$,80 minutos,EE.UU.,Madagascar
Unbroken,#391,"Universal Pictures, Legendary Pictures",2014,,137 minutos,EE.UU.,Unbroken
Asesinos inocentes,#388,Filmax,2015,,95 minutos,España,Asesinos inocentes
Lucy,#387,"Acción, Ciencia ficción",2014,40.000.000$,89 minutos,EE.UU.,Lucy
Scarface,#401,"Crimen, Acción, Drama",1983,25.000.000$,164 minutos,EE.UU.,Scarface
Inside Out,#384,"Animación, Comedia, Familiar",2015,175.000.000$,102 minutos,EE.UU.,Inside Out
Tron,#386,Walt Disney Pictures,1982,,96 minutos,EE.UU.,Tron
A Monster Calls,#378,"Aventura, Drama, Fantasía",2016,43.000.000$,108 minutos,España,A Monster Calls
The Great Gatsby,#380,Drama,2013,127.000.000$,143 minutos,EE.UU.,The Great Gatsby
A Streetcar Named Desire,#377,,1951,,120 minutos,EE.UU.,A Streetcar Named Desire
Ricki and the Flash,#383,"Comedia, Drama, Música",2015,18.000.000$,101 minutos,EE.UU.,Ricki and the Flash
,#381,"Animación, Aventura, Comedia",2007,,,Shrek the Third,
Green Lantern,#382,"Warner Bros. Pictures, DC Comics",2011,,114 minutos,EE.UU.,Green Lantern
Children of Men,#373,"Ciencia ficción, Guerra, Thriller",2006,76.000.000$,114 minutos,Reino Unido,Children of Men
Sen to Chihiro no kamikakushi,#376,"Animación, Fantasía, Familiar",2001,15.000.000,125 minutos,Japón,Sen to Chihiro no kamikakushi
Shutter Island,#372,"Paramount Pictures, Vértice Cine",2010,,138 minutos,EE.UU.,Shutter Island
La tigre e la neve,#370,,2005,,118 minutos,Italia,La tigre e la neve
Bicentennial Man,#369,"Drama, Familiar, Fantasía",1999,1.000.000.000$,132 minutos,EE.UU.,Bicentennial Man
Along Came a Spider,#375,"Thriller, Crimen, Misterio",2001,60.000.000$,104 minutos,EE.UU.,Along Came a Spider
,#368,,1985,,,Rocky IV,
